,species,authors,citation,year_of_publication,year_of_data_collection,month,state,location,gps_coordinates,lat,lon,scale,urban,habitat,density_per_km2,highest_density_multiple_records,range_av_per_km2,av_rainfall,annual_rain_at_time_of_study,baited,dingoes_present,method,confidence_in_density_estimate,notes,notes2,time,years,ninoa,month_int,r_index,worldclim
62,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Dec,WA,Scott River,"34""19S, 115""22E",-34.316667,115.366667,110km2,No,Heath,0.37,,0.37,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 1,"density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate 5/km2, so divide index by 20 then 2 to get per night)",1991,1991,nino,12,1991-12,817.6767578125
63,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Dec,WA,Scott River,"34""19S, 115""22E",-34.316667,115.366667,115km2,No,Heath,0.95,,0.95,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 2,density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate10/km2: divide index by 10 then 2 to get per night),1991,1991,nino,12,1991-12,817.6767578125
64,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Sep,WA,"Taarblin, 250km se of Perth","32""59 S, 117""36E",-32.983333,117.6,130km2,No,Semi-arid grazing ,0.37,,0.37,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 1,"density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate 5/km2, so divide index by 20 then 2 to get per night)",1991,1991,nino,9,1991-09,294.8427734375
65,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Sep,WA,"Taarblin, 250km se of Perth","32""59 S, 117""36E",-32.983333,117.6,130km2,No,Semi-arid grazing ,0.66,,0.66,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 2,density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate10/km2: divide index by 10 then 2 to get per night),1991,1991,nino,9,1991-09,294.8427734375
66,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Dec,WA,Pinjarrega Nature Reserve,"30""05S, 115""54E",-30.083333,115.9,250km2,No,Semi-arid grazing ,0.52,,0.52,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 1,"density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate 5/km2, so divide index by 20 then 2 to get per night)",1991,1991,nino,12,1991-12,297.755889892578
67,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Nov,WA,Pinjarrega Nature Reserve,"30""05S, 115""54E",-30.083333,115.9,145km2,No,Semi-arid grazing ,0.87,,0.87,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 2,density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate10/km2: divide index by 10 then 2 to get per night),1991,1991,nino,11,1991-11,302.900512695312
68,fox,Thomson,"Thomson, P. C. & Algar, D. (2000). The uptake of dried meat baits by foxes and investigations of baiting rates in Western Australia. Wildlife Research, 27, 451-456.",2000,1991,Dec,WA,"Carnarvon, Brickhouse Station","24""56S, 113""54E",-24.933333,113.9,300km2,No,Semi-arid grazing ,0.78,,0.78,,,no,,"destructive sampling (cyanide, shooting, trapping)",High,Site 1,"density index=number of foxes killed over 2 nights per 100 bait stations (baiting rate 5/km2, so divide index by 20 then 2 to get per night)",1991,1991,nino,12,1991-12,140.870880126953
69,fox,"Dickman, unpub data",unpub data,,1991,Apr,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0,,,,,no,yes,spotlighting,High,,5,1991,1991,nino,4,1991-04,196.434539794922
70,fox,"Dickman, unpub data",unpub data,,1991,May,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0,,,,,no,yes,spotlighting,High,,6,1991,1991,nino,5,1991-05,191.975997924805
71,fox,"Dickman, unpub data",unpub data,,1991,Jul,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0,,,,,no,yes,spotlighting,High,,7,1991,1991,nino,7,1991-07,195.571166992188
72,fox,"Dickman, unpub data",unpub data,,1991,Aug,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0.02,,,,,no,yes,spotlighting,High,,8,1991,1991,nino,8,1991-08,133.217880249023
73,fox,"Dickman, unpub data",unpub data,,1991,Oct,QLD,Simpson Desert,average of several sites,-23.756,138.474,,No,Arid grazing,0.07,,,,,no,yes,spotlighting,High,,9,1991,1991,nino,10,1991-10,23.071475982666
74,fox,"Bubela, T.  (Sydney University)","Bubela, T., Bartell, R. & Miller, W. (1998). Factors affecting the trappability of red foxes in Kosciusko National Park. Wildlife Research, 25, 199-208",1998,1992,Aug,NSW,Kosciusko NP,"36""24'S, 148""26'E",-36.4,148.433333,167km2,No,Sub-alpine forest,1.8,,1.8,,,no,,Calculated from home range (Trewhella equation),High,pre-breeding spring density,,1992,,,8,1992-08,889.622253417969
75,fox,Burrows,"Burrows, N. D., Algar, D., Robinson, A. D., Sinagra, J., Ward, B. & Liddelow, G. (2003). Controlling introduced predators in the Gibson Desert of Western Australia. Journal of Arid Environments, 55, 691-713.",2003,1992,Apr,WA,Gibson Desert Nature Reserve,"24.5S, 124.7E",-24.5,124.7,3200km7,No,Arid,0.025,2.5,0.025,220,,no,,Track indices only (number of tracks per 100km),Low,Unbaited site,,1992,,,4,1992-04,176.933486938477
76,fox,Burrows,"Burrows, N. D., Algar, D., Robinson, A. D., Sinagra, J., Ward, B. & Liddelow, G. (2003). Controlling introduced predators in the Gibson Desert of Western Australia. Journal of Arid Environments, 55, 691-713.",2003,1992,Apr,WA,Gibson Desert Nature Reserve,"24.5S, 124.7E",-24.5,124.7,3200km7,No,Arid,0.05,5,0.05,220,,no,,Track indices only (number of tracks per 100km),Low,Baited site,,1992,,,4,1992-04,176.933486938477
77,fox,Marlow et al. (2000),"Marlow, N. J., Thomson, P. C., Algar, D., Rose, K., Kok, N. E. & Sinagra, J. A. (2000). Demographic characteristics and social organisation of a population of red foxes in a rangeland area in Western Australia. Wildlife Research, 27, 457-464.",2000,1992,Dec,WA,"Brickhouse Station, near Carnarvon, WA","24""56'S, 113""54'E",-24.933333,113.9,200km2,No,Semi-arid grazing ,0.52,,"0.46""0.52 ",220,,no,yes,culling,High,,"Rainfall during the previous 5 years was 48""90% of the average.",1992,,,12,1992-12,117.185432434082
78,fox,Marlow et al. (2000),"Marlow, N. J., Thomson, P. C., Algar, D., Rose, K., Kok, N. E. & Sinagra, J. A. (2000). Demographic characteristics and social organisation of a population of red foxes in a rangeland area in Western Australia. Wildlife Research, 27, 457-464.",2000,1992,Oct,WA,"Brickhouse Station, near Carnarvon, WA","24""56'S, 113""54'E",-24.933333,113.9,200km2,No,Semi-arid grazing ,0.46,,"0.46""0.52 ",220,,no,yes,spotlighting,High,,"Rainfall during the previous 5 years was 48""90% of the average.",1992,,,10,1992-10,210.902145385742
79,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Jan,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,1.4,,0.6,160,,no,,spotlighting,High,,,1992,,,1,1992-01,42.705005645752
80,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Mar,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.25,,0.6,160,,no,,spotlighting,High,,,1992,,,3,1992-03,126.687950134277
81,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,May,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.5,,0.6,160,,no,,spotlighting,High,,,1992,,,5,1992-05,162.863647460938
82,fox,Read,"Read, J. & Bowen, Z. (2001). Population dynamics, diet and aspects of the biology of feral cats and foxes in arid South Australia. Wildlife Research, 28, 195-203.",2001,1992,Jul,SA,"Roxby Downs, 15km north of town",not provided- ayesha sourced,-30.45,136.873169,200km2,No,Arid grazing,0.2,,0.6,160,,no,,spotlighting,High,,,1992,,,7,1992-07,143.054489135742
